Species	Voucher	Gene	Reason
Ophiocordyceps dipterigena	MRCIF71	SSU	no voucher match
Ophiocordyceps dipterigena	MRCIF71	LSU	no voucher match
Ophiocordyceps dipterigena	MRCIF71	TEF	no voucher match
Ophiocordyceps dipterigena	MRCIF71	RPB1	no voucher match
Ophiocordyceps dipterigena	MRCIF71	RPB2	no voucher match
Ophiocordyceps dipterigena	Ophdip899	ITS	no voucher match
Ophiocordyceps dipterigena	Ophdip899	SSU	no voucher match
Ophiocordyceps dipterigena	Ophdip899	LSU	no voucher match
Ophiocordyceps dipterigena	Ophdip899	TEF	no voucher match
Ophiocordyceps dipterigena	Ophdip899	RPB1	no voucher match
Ophiocordyceps dipterigena	OSC 151911	ITS	no voucher match
Ophiocordyceps dipterigena	OSC 151911	RPB2	no voucher match
Ophiocordyceps dipterigena	OSC 151912	ITS	no voucher match
Ophiocordyceps dipterigena	OSC 151912	RPB2	no voucher match
Ophiocordyceps ditmarii	WU42993	TEF	no voucher match
Ophiocordyceps ditmarii	WU42993	RPB1	no voucher match
Ophiocordyceps ditmarii	WU42993	RPB2	no voucher match
Ophiocordyceps elongata	OSC 110989	ITS	no voucher match
Ophiocordyceps elongata	OSC 110989	SSU	no voucher match
Ophiocordyceps elongata	OSC 110989	RPB2	no voucher match
Ophiocordyceps evansii	Ophsp.858	RPB2	no voucher match
Ophiocordyceps evansii	Ophsp.912	SSU	no voucher match
Ophiocordyceps evansii	Ophsp.912	LSU	no voucher match
Ophiocordyceps evansii	Ophsp.912	TEF	no voucher match
Ophiocordyceps evansii	Ophsp.912	RPB1	no voucher match
Ophiocordyceps evansii	Ophsp.912	RPB2	no voucher match
Ophiocordyceps floriformis	BBH51295	RPB1	no voucher match
Ophiocordyceps formicarum	1	SSU	no voucher match
Ophiocordyceps formicarum	1	LSU	no voucher match
Ophiocordyceps formicarum	1	TEF	no voucher match
Ophiocordyceps formicarum	1	RPB1	no voucher match
Ophiocordyceps formicarum	1	RPB2	no voucher match
Ophiocordyceps formicarum	TNS F18565	ITS	no voucher match
Ophiocordyceps formosana	HS0825-01	TEF	no voucher match
Ophiocordyceps formosana	HS0825-01	RPB1	no voucher match
Ophiocordyceps formosana	HS0825-01	RPB2	no voucher match
Ophiocordyceps formosana	TNM F13893	ITS	no voucher match
Ophiocordyceps formosana	TNM F13893	LSU	no voucher match
Ophiocordyceps forquignonii	OSC 151902	ITS	no voucher match
Ophiocordyceps forquignonii	OSC 151902	TEF	no voucher match
Ophiocordyceps fulgoromorphila	Ophara717	ITS	no voucher match
Ophiocordyceps fulgoromorphila	Ophara717	SSU	no voucher match
Ophiocordyceps fulgoromorphila	Ophsp.717	ITS	no voucher match
Ophiocordyceps fulgoromorphila	Ophsp.717	LSU	no voucher match
Ophiocordyceps fulgoromorphila	Ophsp.717	TEF	no voucher match
Ophiocordyceps fulgoromorphila	Ophsp.717	RPB1	no voucher match
Ophiocordyceps fulgoromorphila	Ophsp.717	RPB2	no voucher match
Ophiocordyceps geometridicola	BCC35947	ITS	no voucher match
