Species	Voucher	Gene	Reason
Ophiocordyceps nutans	Bidoup-NLU11	RPB1	no voucher match
Ophiocordyceps nutans	Bidoup-NLU11	RPB2	no voucher match
Ophiocordyceps nutans	Liyi2048	TEF	no voucher match
Ophiocordyceps nutans	Liyi2048	RPB1	no voucher match
Ophiocordyceps nutans	Liyi2048	RPB2	no voucher match
Ophiocordyceps nutans	HKAS122491	SSU	no voucher match
Ophiocordyceps nutans	HKAS122491	TEF	no voucher match
Ophiocordyceps nutans	HKAS122491	RPB1	no voucher match
Ophiocordyceps nutans	HKAS122491	RPB2	no voucher match
Ophiocordyceps nutans	KA12-1340	LSU	no voucher match
Ophiocordyceps nutans	KA12-1340	TEF	no voucher match
Ophiocordyceps nutans	KA12-1340	RPB1	no voucher match
Ophiocordyceps nutans	KA12-1340	RPB2	no voucher match
Ophiocordyceps nutans	XS58	TEF	no voucher match
Ophiocordyceps nutans	XS58	RPB1	no voucher match
Ophiocordyceps nutans	XS58	RPB2	no voucher match
Ophiocordyceps nutans	CPA50	TEF	no voucher match
Ophiocordyceps nutans	CPA50	RPB1	no voucher match
Ophiocordyceps nutans	CPA50	RPB2	no voucher match
Ophiocordyceps nutans	wydzl-2021-5-1	TEF	no voucher match
Ophiocordyceps nutans	wydzl-2021-5-1	RPB1	no voucher match
Ophiocordyceps nutans	wydzl-2021-5-1	RPB2	no voucher match
Ophiocordyceps nutans	N.K.Zeng2968	SSU	no voucher match
Ophiocordyceps nutans	N.K.Zeng2968	TEF	no voucher match
Ophiocordyceps nutans	N.K.Zeng2968	RPB1	no voucher match
Ophiocordyceps nutans	N.K.Zeng2968	RPB2	no voucher match
Ophiocordyceps nutans	15BidoupNLU	ITS	no voucher match
Ophiocordyceps nutans	15BidoupNLU	SSU	no voucher match
Ophiocordyceps nutans	15BidoupNLU	TEF	no voucher match
Ophiocordyceps nutans	15BidoupNLU	RPB1	no voucher match
Ophiocordyceps nutans	15BidoupNLU	RPB2	no voucher match
Ophiocordyceps nutans	12BidoupNLU	ITS	no voucher match
Ophiocordyceps nutans	12BidoupNLU	SSU	no voucher match
Ophiocordyceps nutans	12BidoupNLU	TEF	no voucher match
Ophiocordyceps nutans	12BidoupNLU	RPB1	no voucher match
Ophiocordyceps nutans	12BidoupNLU	RPB2	no voucher match
Ophiocordyceps nutans	11BidoupNLU	ITS	no voucher match
Ophiocordyceps nutans	11BidoupNLU	SSU	no voucher match
Ophiocordyceps nutans	11BidoupNLU	TEF	no voucher match
Ophiocordyceps nutans	11BidoupNLU	RPB1	no voucher match
Ophiocordyceps nutans	11BidoupNLU	RPB2	no voucher match
Ophiocordyceps nutans	HMIGD 20876	ITS	no voucher match
Ophiocordyceps nutans	HMIGD 20876	SSU	no voucher match
Ophiocordyceps nutans	HMIGD 20876	LSU	no voucher match
Ophiocordyceps nutans	HMIGD 20876	TEF	no voucher match
Ophiocordyceps nutans	HMIGD 20876	RPB1	no voucher match
Ophiocordyceps nutans	MHHNU 30295	SSU	no voucher match
Ophiocordyceps nutans	MHHNU 30295	TEF	no voucher match
Ophiocordyceps nutans	MHHNU 30295	RPB1	no voucher match
Ophiocordyceps nutans	MHHNU 30295	RPB2	no voucher match
Ophiocordyceps nutans	420526MF0895	ITS	no voucher match
Ophiocordyceps nutans	420526MF0895	SSU	no voucher match
Ophiocordyceps nutans	420526MF0895	TEF	no voucher match
Ophiocordyceps nutans	420526MF0895	RPB1	no voucher match
Ophiocordyceps nutans	420526MF0895	RPB2	no voucher match
Ophiocordyceps nutans	420526MF0525	ITS	no voucher match
Ophiocordyceps nutans	420526MF0525	SSU	no voucher match
Ophiocordyceps nutans	420526MF0525	TEF	no voucher match
Ophiocordyceps nutans	420526MF0525	RPB1	no voucher match
Ophiocordyceps nutans	420526MF0525	RPB2	no voucher match
Ophiocordyceps nutans	NBRC:100944	ITS	no voucher match
Ophiocordyceps nutans	Oph994	ITS	no voucher match
Ophiocordyceps nutans	Oph994	SSU	no voucher match
Ophiocordyceps nutans	Oph994	TEF	no voucher match
Ophiocordyceps nutans	Oph994	RPB1	no voucher match
Ophiocordyceps nutans	Oph994	RPB2	no voucher match
Ophiocordyceps nutans	MRCIF56	SSU	no voucher match
Ophiocordyceps nutans	MRCIF56	LSU	no voucher match
Ophiocordyceps nutans	MRCIF56	TEF	no voucher match
Ophiocordyceps nutans	MRCIF56	RPB1	no voucher match
Ophiocordyceps nutans	MRCIF56	RPB2	no voucher match
Ophiocordyceps nutans	MRCIF55	SSU	no voucher match
Ophiocordyceps nutans	MRCIF55	LSU	no voucher match
Ophiocordyceps nutans	MRCIF55	TEF	no voucher match
Ophiocordyceps nutans	MRCIF55	RPB1	no voucher match
Ophiocordyceps nutans	MRCIF55	RPB2	no voucher match
Ophiocordyceps nutans	YC0179MT04	SSU	no voucher match
Ophiocordyceps nutans	YC0179MT04	LSU	no voucher match
Ophiocordyceps nutans	YC0179MT04	TEF	no voucher match
Ophiocordyceps nutans	YC0179MT04	RPB1	no voucher match
Ophiocordyceps nutans	YC0179MT04	RPB2	no voucher match
Ophiocordyceps nutans	YC0179MT05	SSU	no voucher match
Ophiocordyceps nutans	YC0179MT05	LSU	no voucher match
Ophiocordyceps nutans	YC0179MT05	TEF	no voucher match
Ophiocordyceps nutans	YC0179MT05	RPB1	no voucher match
Ophiocordyceps nutans	YC0179MT05	RPB2	no voucher match
Ophiocordyceps nutans	YC0179MT03	SSU	no voucher match
Ophiocordyceps nutans	YC0179MT03	LSU	no voucher match
Ophiocordyceps nutans	YC0179MT03	TEF	no voucher match
Ophiocordyceps nutans	YC0179MT03	RPB1	no voucher match
Ophiocordyceps nutans	YC0179MT03	RPB2	no voucher match
Ophiocordyceps nutans	YC0179MT02	SSU	no voucher match
Ophiocordyceps nutans	YC0179MT02	LSU	no voucher match
Ophiocordyceps nutans	YC0179MT02	TEF	no voucher match
Ophiocordyceps nutans	YC0179MT02	RPB1	no voucher match
Ophiocordyceps nutans	YC0179MT02	RPB2	no voucher match
Ophiocordyceps nutans	YC0179MT01	SSU	no voucher match
Ophiocordyceps nutans	YC0179MT01	LSU	no voucher match
Ophiocordyceps nutans	YC0179MT01	TEF	no voucher match
Ophiocordyceps nutans	YC0179MT01	RPB1	no voucher match
Ophiocordyceps nutans	YC0179MT01	RPB2	no voucher match
Ophiocordyceps nutans	GDGM 20887	SSU	no voucher match
Ophiocordyceps nutans	GDGM 20887	LSU	no voucher match
Ophiocordyceps nutans	GDGM 20887	TEF	no voucher match
Ophiocordyceps nutans	GDGM 20887	RPB1	no voucher match
Ophiocordyceps nutans	GDGM 20887	RPB2	no voucher match
Ophiocordyceps nutans	06Yaka1	SSU	no voucher match
Ophiocordyceps nutans	06Yaka1	LSU	no voucher match
Ophiocordyceps nutans	06Yaka1	TEF	no voucher match
Ophiocordyceps nutans	06Yaka1	RPB1	no voucher match
Ophiocordyceps nutans	06Yaka1	RPB2	no voucher match
Ophiocordyceps nutans	06Yak3	SSU	no voucher match
Ophiocordyceps nutans	06Yak3	LSU	no voucher match
Ophiocordyceps nutans	06Yak3	TEF	no voucher match
Ophiocordyceps nutans	06Yak3	RPB1	no voucher match
Ophiocordyceps nutans	06Yak3	RPB2	no voucher match
Ophiocordyceps nutans	06Yak2	SSU	no voucher match
Ophiocordyceps nutans	06Yak2	LSU	no voucher match
Ophiocordyceps nutans	06Yak2	TEF	no voucher match
Ophiocordyceps nutans	06Yak2	RPB1	no voucher match
Ophiocordyceps nutans	06Yak2	RPB2	no voucher match
Ophiocordyceps nutans	06Yak1	SSU	no voucher match
Ophiocordyceps nutans	06Yak1	LSU	no voucher match
Ophiocordyceps nutans	06Yak1	TEF	no voucher match
Ophiocordyceps nutans	06Yak1	RPB1	no voucher match
Ophiocordyceps nutans	06Yak1	RPB2	no voucher match
Ophiocordyceps nutans	06Tank23	SSU	no voucher match
Ophiocordyceps nutans	06Tank23	LSU	no voucher match
Ophiocordyceps nutans	06Tank23	TEF	no voucher match
Ophiocordyceps nutans	06Tank23	RPB1	no voucher match
Ophiocordyceps nutans	06Tank23	RPB2	no voucher match
Ophiocordyceps nutans	06Tank22	SSU	no voucher match
